fold,n_hours,n_days,mae_all,mae_24h,mae_168h,mae_720h
Fold 1,4368,182,99.85394435977156,165.69452380952407,144.7649184392875,99.98434463922116
Fold 2,4344,181,90.66150379816985,106.96047619047572,85.76888510205873,82.41054562728831
Fold 3,4344,181,110.17280572693977,110.71813487714648,112.83962797009724,92.05376830102314
Fold 4,4344,181,118.56312591469208,225.84029761904785,146.11464294238095,106.37689620157022
Fold 5,4344,181,116.0491005261262,92.12685055808213,83.13475967465098,108.16503751970194
Fold 6,2592,108,147.15927001376457,76.53646510266645,163.46396262842669,103.68578939287697
