profile_days,trend_days,mae_24h,std_24h,mae_168h,std_168h,mae_720h,std_720h
7,3,119.63491343570182,21.101826543491583,119.20230973814836,21.398374437028533,119.24895621167092,20.67665724033177
7,5,118.96234317571584,19.73196913843469,118.67662748557522,20.142559978754477,118.98732665810576,20.11533083949103
7,7,115.48733459472287,18.04615984714707,115.33604240970219,18.636163562594575,115.75858187172558,18.989599800652275
7,10,117.70122074644122,18.58626334301243,117.55476591945019,19.17411266306589,117.75005226147698,19.020968365000144
7,14,119.73084668372904,18.987882191950128,119.52091532839624,19.53109103433528,119.99824050819986,19.72952712188821
14,3,118.28939258557973,21.005163530567952,117.80871536656237,21.291825256666133,117.90513586707266,20.543300936347062
14,5,117.70062220676242,19.77536391810231,117.38377434651203,20.20263280511732,117.72963422886808,20.140480384135437
14,7,114.17973160714934,18.046573079901275,113.98891505459586,18.648342224886388,114.47458733470278,19.023233675554316
14,10,116.35204580984481,18.635513310203685,116.15654382650358,19.21531802303137,116.40748665148324,19.058515349336062
14,14,118.37437376978534,19.08787208501274,118.12960192512833,19.622817938148522,118.65597323690095,19.84822081630444
21,3,118.01475492566846,21.06058305090925,117.51503538293815,21.366288216893086,117.68895152346961,20.723218702773817
21,5,117.52836062957557,19.854005188411076,117.20718043136834,20.313165084487906,117.63557848390171,20.38055053547556
21,7,114.063393469469,18.106344955018887,113.87887181221107,18.74761572483692,114.42492960638693,19.21572129925243
21,10,116.21785240985717,18.770131768566273,116.02346287304238,19.380341782073778,116.33961172363816,19.334744634157722
21,14,118.15927560936571,19.143726826538565,117.91688875007704,19.702039266961226,118.49614326476667,20.01672586899277
28,3,118.08342038607724,21.18023932168213,117.58938132525013,21.49451605836219,117.73335230653277,20.80926010951155
28,5,117.64040940615864,20.007315135227785,117.32491753675673,20.48039650865934,117.7366065535066,20.515600025600765
28,7,114.2036101115072,18.19589399317931,114.02464258042562,18.850576501668147,114.56173072233598,19.283244526327803
28,10,116.3894815381587,18.8785217459962,116.19955765787847,19.50651197708448,116.49819700082924,19.417648745788668
28,14,118.35956279650198,19.26325474299953,118.11266038436088,19.84381633047313,118.68580853824251,20.11119749162524
42,3,118.47641900061127,21.068775391046152,118.00525202050613,21.387342349400843,118.12414311826541,20.69067523471001
42,5,117.9948961229029,19.89384380342857,117.68844404626185,20.371586948233073,118.08384497125661,20.394275005880637
42,7,114.59946205688476,18.18705962427369,114.42796297600593,18.8460097373563,114.95528845970345,19.270158857651055
42,10,116.77211312669613,18.84182947146289,116.58966967785045,19.466955495939143,116.88045745068564,19.375726054301712
42,14,118.72819775615854,19.180891855044234,118.49138149200725,19.75063648195289,119.0572214115835,20.012467271506036
56,3,119.00361108641245,21.09245286897351,118.54484421353642,21.409381860717158,118.58521394279938,20.606092343848303
56,5,118.46402780902781,19.838761474880865,118.1697310422865,20.302617440100594,118.49688420327477,20.242951168763252
56,7,115.09257670627254,18.212905224973976,114.93443326183935,18.862534469946855,115.40233036026365,19.222398469176333
56,10,117.2776431198389,18.876703635760567,117.10802735328029,19.489754931397478,117.34728840784389,19.353965309113853
56,14,119.20673257269682,19.247258898059865,118.97613524604476,19.808873298879675,119.49250678764453,20.00701992955513
