profile_days,trend_days,mae_24h,std_24h,mae_168h,std_168h,mae_720h,std_720h
7,3,223.85130922767553,138.96421055584537,224.8572730128517,138.83085124872187,228.9670433483055,149.6340126596899
7,5,206.50426441128823,77.77037227266612,207.95103924771752,77.8135501291357,210.96886382982106,86.23258801588332
7,7,217.23783135433564,69.46472881382789,219.0641611596565,70.0310984989589,221.57302920106932,76.57789096837588
7,10,208.5913309993675,62.964519296003346,210.11777623288637,63.222052703207844,212.81947076006145,70.38874755636121
7,14,186.91693234701174,48.51816566154692,187.96051626478945,48.60380326321549,190.58435424349022,55.06825852721623
14,3,222.98311982548705,139.10876975840168,224.0210095411976,138.95360267143664,228.14022187500692,149.83207212058085
14,5,205.69415176420364,77.71017759120133,207.17631544944416,77.72466525573084,210.19765373975375,86.23637153304301
14,7,216.59542037520114,69.37073166842342,218.46312963190334,69.93160894564112,220.9941065111178,76.57922232435278
14,10,207.81019856866791,62.81793178768919,209.36100058162535,63.05767442042336,212.11177592271542,70.37104871030137
14,14,185.89448323841452,48.23773990305644,186.95768364444234,48.300742173227114,189.65976800924827,54.97271606186742
21,3,222.82332854620725,139.1039703385166,223.86857860571445,138.9342059186379,227.99042185304495,149.84708853917914
21,5,205.5482874556062,77.48154544474323,207.0527136422746,77.46635414756089,210.08956247390583,86.08580055878478
21,7,216.4679760321279,69.16235108329393,218.36892164878427,69.70259880041142,220.91369710522818,76.43312855899562
21,10,207.63845072404192,62.64803350833065,209.21020400727255,62.859807238879256,211.98306837109442,70.26934308734576
21,14,185.63515002193859,48.047419508428135,186.7120866318111,48.08809421269508,189.43394542071198,54.86160499390754
28,3,223.0079119477099,139.08278059624027,224.0301485571562,138.92308405560127,228.1668222637045,149.81164225916834
28,5,205.7312604512598,77.57111429678285,207.20968098627546,77.56797112832761,210.26455184252845,86.15930852745805
28,7,216.61075096489355,69.24962891016682,218.4879683594314,69.79251098830177,221.05161425085961,76.5147425015817
28,10,207.80093845641167,62.73184916901065,209.35240886655552,62.95160311127535,212.14478908311887,70.3479173842745
28,14,185.9160487780883,48.12130729657873,186.96649168747183,48.16557808092743,189.7096728093885,54.93399114768783
42,3,223.23130666027535,139.01686191983944,224.27466268225203,138.85306140691134,228.39893021335388,149.7532188429233
42,5,205.91102365196647,77.55185658703039,207.40984288594322,77.54802705170934,210.46397566325822,86.16613948119482
42,7,216.76524181403627,69.29849886938165,218.65616596002315,69.83818559703371,221.21747951674504,76.56713843300257
42,10,207.99676941940507,62.790780206498304,209.5627017416423,63.01405651489888,212.3510247959766,70.4080018773641
42,14,186.19119811685775,48.13822400692678,187.260326545649,48.18766904043606,189.9816148729367,54.92994763703444
56,3,223.5897061730856,138.94306337559837,224.63301180347094,138.7809872641445,228.7503063777183,149.66826422215698
56,5,206.26392857343464,77.57288706676182,207.75610940383012,77.57326949240279,210.80139357474016,86.16202796549271
56,7,217.08422748841068,69.3427191823548,218.96867179063884,69.88164316680773,221.5320577920387,76.60479881155017
56,10,208.35268983932193,62.841058767000874,209.91351323119838,63.0637241452897,212.70070652507812,70.44747808039396
56,14,186.6537656245334,48.26088205004563,187.72505232112795,48.31084296511266,190.4462533246663,55.060446426954634
